"Phenotype";"Model_Variant";"AIC";"LogLikelihood";"Residual_Deviance";"N_Observations"
"dep";"With Study Status";53985,8844044454;-26852,9422022227;53705,8844044454;39417
"dep";"Without Study Status";54184,8814414169;-26957,4407207084;53914,8814414169;39417
"anxiety";"With Study Status";53985,8843974104;-26852,9421987052;53705,8843974104;39417
"anxiety";"Without Study Status";54184,8813177487;-26957,4406588743;53914,8813177487;39417
"an";"With Study Status";53985,8843934749;-26852,9421967374;53705,8843934749;39417
"an";"Without Study Status";54184,8811568884;-26957,4405784442;53914,8811568884;39417
"bipolar";"With Study Status";53985,8843998551;-26852,9421999275;53705,8843998551;39417
"bipolar";"Without Study Status";54184,8813751424;-26957,4406875712;53914,8813751424;39417
"ptsd";"With Study Status";53985,884398706;-26852,942199353;53705,884398706;39417
"ptsd";"Without Study Status";54184,8814356395;-26957,4407178197;53914,8814356395;39417
"scz";"With Study Status";53985,8843943361;-26852,942197168;53705,8843943361;39417
"scz";"Without Study Status";54184,8813449638;-26957,4406724819;53914,8813449638;39417
