"Sample";"Time point";"Duration";"Model";"Regression";"Dependent variable";"Level";"Independent variable";"Estimate";"95% CI low";"95% CI up";"SE";"z score";"p value";"Model_Variant"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"Intercept";1,17;1,07;1,28;0,05;3,42;"6.18e-04";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"SCORE";0,99;0,99;0,99;0;-10540,34;"0.00e+00";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"study_statusGLAD";0,65;0,61;0,69;0,03;-13,82;"1.97e-43";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"pc1";0,96;0,94;0,99;0,01;-2,95;"0.003";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"pc2";1,02;0,98;1,06;0,02;0,83;"0.41";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"pc3";1;0,96;1,03;0,02;-0,24;"0.81";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"pc4";0,99;0,96;1,02;0,02;-0,55;"0.58";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"pc5";1,37;1,13;1,66;0,1;3,26;"0.001";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"pc6";1;0,95;1,06;0,03;0,15;"0.88";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"batchb02";1,25;1,07;1,47;0,08;2,82;"0.005";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"batchb03";0,84;0,74;0,96;0,07;-2,57;"0.01";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"batchb04";0,93;0,83;1,03;0,06;-1,34;"0.18";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"batchb05";0,79;0,68;0,91;0,07;-3,2;"0.001";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"batchb06";0,85;0,76;0,97;0,06;-2,5;"0.01";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"batchb07";1,11;0,94;1,31;0,08;1,25;"0.21";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"batchb08";0,53;0,48;0,58;0,05;-13,67;"1.49e-42";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"batchb09";0,48;0,44;0,53;0,05;-15,35;"3.62e-53";"With Study Status"
"Full sample";"t1";"cross-sectional";"Multinom_bipolar_With_Control";"Multinomial";"gender";"Cis man";"batchb10";0,98;0,87;1,12;0,07;-0,23;"0.82";"With Study Status"
