"phenotype";"term";"estimate";"std.error";"statistic";"p.value"
"dep";"(Intercept)";-1,31970568797525e-07;5,7129422595582e-09;-23,1002805212546;2,76893510624341e-117
"dep";"genderCis man";-1,70013375113032e-09;3,17594043506497e-09;-0,535316636407743;0,592433941591292
"dep";"genderNon-binary";4,36503473155821e-09;1,48289189136079e-08;0,294359606184952;0,768484678471115
"dep";"genderTrans man";-5,18646345019676e-09;2,61063425014524e-08;-0,198666797155067;0,842524421980891
"dep";"genderSelf-define";-1,68117411788334e-08;2,41686921723314e-08;-0,695599954642135;0,48668349174628
"dep";"genderTrans woman";-1,03223179130937e-08;5,02177369811533e-08;-0,205551236149244;0,837142532438128
"dep";"pc1";7,0985817840482e-09;1,45355989348064e-09;4,88358396230252;1,04581859088415e-06
"dep";"pc2";7,14768583102735e-09;2,50550568703737e-09;2,85279170109533;0,00433595479183535
"dep";"pc3";6,94871063767439e-09;2,29275887427331e-09;3,03072020160723;0,00244129281766358
"dep";"pc4";-1,5119092926521e-09;2,10198399595679e-09;-0,719277261653889;0,471974363435953
"dep";"pc5";9,75818518828716e-08;1,19554039301342e-08;8,16215432394646;3,38761459672116e-16
"dep";"pc6";-1,38643766807412e-08;3,38347020991657e-09;-4,09767954808832;4,18145625846723e-05
"dep";"batchb02";6,06974398408647e-09;1,12663012660225e-08;0,538752145958668;0,59006092701575
"dep";"batchb03";7,87975049030494e-09;9,20433623639944e-09;0,856091117048039;0,391952580978154
"dep";"batchb04";-1,98111291406842e-09;7,76649004412972e-09;-0,25508471688132;0,798658997594996
"dep";"batchb05";-4,01722041700082e-09;1,03501386777148e-08;-0,388132037848963;0,697920418167884
"dep";"batchb06";-1,33045396887871e-08;8,79704302952406e-09;-1,51238770165557;0,130443271448103
"dep";"batchb07";4,67125332309537e-09;1,18775847160941e-08;0,39328309877393;0,694112524918469
"dep";"batchb08";4,35284383803904e-08;6,20373880838503e-09;7,01648469170832;2,31180964194004e-12
"dep";"batchb09";4,64746793642745e-08;6,19836611978472e-09;7,49789193896288;6,62097190767314e-14
"dep";"batchb10";-7,34199181124603e-09;9,18907006592053e-09;-0,79899181947423;0,424299965317581
"dep";"batchb11";4,37652240872022e-08;1,65518503874957e-08;2,64412878697025;0,00819338897886202
"dep";"batchb12";5,81122885144112e-08;6,43211906396271e-09;9,03470348364623;1,71705623657656e-19
"dep";"batchb15";3,5767295533041e-08;1,06614307469281e-08;3,35483073351544;0,000794883662929062
"dep";"batchb16";6,39804755108824e-08;6,47025315603983e-09;9,88840374061069;4,97177944762853e-23
"dep";"batchb17";1,4798925010733e-08;9,94436094641057e-09;1,48817255231214;0,136713386229701
"dep";"batchb18";8,78851916778467e-08;6,06931921681744e-08;1,44802388106933;0,14761831834719
"dep";"batchb19";4,95179878314264e-09;1,31316936586745e-08;0,377087595237313;0,706110537656052
"dep";"batchb20";5,26756550679917e-08;1,24088114055424e-08;4,24502019947406;2,19072873395386e-05
"dep";"batchb21";5,90835233711867e-08;7,11935471379812e-09;8,29899980354625;1,08285308299272e-16
"dep";"batchb24";5,3407564056154e-08;7,79003307991025e-09;6,85588411606197;7,19135900867123e-12
"anxiety";"(Intercept)";9,43818507039667e-07;9,69530202935187e-09;97,3480252788744;0
"anxiety";"genderCis man";2,75544384622823e-10;5,3898149755792e-09;0,0511231620883631;0,959227638256182
"anxiety";"genderNon-binary";2,93941154969317e-08;2,51658149346175e-08;1,16801762920452;0,242806712124486
"anxiety";"genderTrans man";5,92874093598619e-08;4,4304469384373e-08;1,33818123055489;0,180845078261453
"anxiety";"genderSelf-define";7,49255700024663e-09;4,10161278758148e-08;0,182673435750249;0,85505519881718
"anxiety";"genderTrans woman";4,39976616351267e-08;8,52233586727141e-08;0,51626293917953;0,605673670287734
"anxiety";"pc1";1,06544940069059e-09;2,46680283902207e-09;0,431915102348825;0,665805478285222
"anxiety";"pc2";1,27900697032057e-08;4,25203568816825e-09;3,00798738326574;0,00263149816809956
"anxiety";"pc3";1,47557750613264e-09;3,89098799823606e-09;0,379229518775584;0,704519473946955
"anxiety";"pc4";1,35099797719431e-08;3,56722836950938e-09;3,78724835432982;0,000152550597080814
"anxiety";"pc5";1,7473816302741e-07;2,02892391904755e-08;8,61235659883386;7,41789567085532e-18
"anxiety";"pc6";4,15685259480558e-09;5,74200895126718e-09;0,723936975731851;0,469108720690928
"anxiety";"batchb02";1,27309581909952e-08;1,91197790149212e-08;0,665852789462675;0,505509091957684
