"phenotype";"term";"estimate";"std.error";"statistic";"p.value"
"ADHD";"Intercept";4,02020794805867e-07;6,52928818338947e-09;61,5719177212317;0
"ADHD";"Cis man";-9,28955546281791e-09;3,36832114228135e-09;-2,75791858033054;0,00582023318369906
"ADHD";"Non-binary";3,3784314277383e-08;1,42285109624866e-08;2,37440968815748;0,0175826577115671
"ADHD";"Self-define";-3,87768883881111e-09;2,31323902310298e-08;-0,16763027080572;0,866875171331722
"ADHD";"Trans man";2,80042961436969e-08;2,50172349930677e-08;1,11940013160755;0,262977532220316
"ADHD";"Trans woman";1,29161265566605e-07;4,84754054430284e-08;2,66447004179066;0,0077146804994284
"Anorexia Nervosa";"Intercept";1,59141366673836e-06;1,14435526237322e-08;139,066400012704;0
"Anorexia Nervosa";"Cis man";1,55803588335986e-09;5,90348582612516e-09;0,263917951062906;0,791844772717616
"Anorexia Nervosa";"Non-binary";-1,1285634506638e-08;2,49375903441958e-08;-0,45255513266801;0,650872054985315
"Anorexia Nervosa";"Self-define";-2,07127874543823e-10;4,05429684655269e-08;-0,00510884827587157;0,995923777108773
"Anorexia Nervosa";"Trans man";-8,16963758110213e-09;4,38464403932662e-08;-0,186323849959706;0,852191938002739
"Anorexia Nervosa";"Trans woman";7,16426953710593e-08;8,49603873444099e-08;0,84324821967485;0,399095679879683
"Anxiety";"Intercept";9,45185154197688e-07;1,16465274572369e-08;81,1559632403882;0
"Anxiety";"Cis man";-1,47809668645415e-10;6,00819623311627e-09;-0,0246013383901661;0,98037309884715
"Anxiety";"Non-binary";2,88971773542908e-08;2,53799095622352e-08;1,13858472519103;0,254884576425147
"Anxiety";"Self-define";4,64440073593686e-09;4,12620810125354e-08;0,112558567623526;0,910381211539793
"Anxiety";"Trans man";5,65989651430078e-08;4,46241467779199e-08;1,26834839945921;0,204682408636505
"Anxiety";"Trans woman";5,60245738159167e-08;8,64673337484458e-08;0,647927620607634;0,517036223093351
"Bipolar Disorder";"Intercept";1,06057414542543e-06;1,92355919397526e-08;55,1360285010847;0
"Bipolar Disorder";"Cis man";-1,44133341331648e-08;9,92323346667335e-09;-1,45248362658918;0,146376581192266
"Bipolar Disorder";"Non-binary";-5,28825859576784e-09;4,19178665571793e-08;-0,126157627525109;0,899607911709692
"Bipolar Disorder";"Self-define";3,65647685713368e-10;6,81491161941971e-08;0,00536540612898664;0,995719077900309
