"phenotype";"term";"estimate";"std.error";"statistic";"p.value"
"ADHD";"(Intercept)";4,02020794805867e-07;6,52928818338947e-09;61,5719177212317;0
"ADHD";"batchb02";-2,95218499082861e-09;1,35163136975196e-08;-0,218416430462869;0,827106000578825
"ADHD";"batchb03";-1,19447402387538e-09;1,09708955324505e-08;-0,108876619993535;0,913301005585593
"ADHD";"batchb04";8,90906631106276e-09;9,24053118634184e-09;0,964129240127559;0,334988121386241
"ADHD";"batchb05";-4,63788883163188e-09;1,23857072159311e-08;-0,374454906028007;0,708068279448017
"ADHD";"batchb06";-6,97312351670923e-09;1,04165715613792e-08;-0,669425969535218;0,503228421840191
"ADHD";"batchb07";1,72140745916913e-08;1,42280807817446e-08;1,20986623956886;0,226338794350041
"ADHD";"batchb08";1,90443115052646e-08;6,89317380332028e-09;2,76277837301758;0,0057343045072088
"ADHD";"batchb09";2,01237079010557e-08;6,88713263563877e-09;2,92192832136291;0,00348104823541053
"ADHD";"batchb10";4,19749725568677e-09;1,09424208642091e-08;0,383598593745932;0,701278426325125
"ADHD";"batchb11";1,13280694887911e-10;1,89958462388795e-08;0,00596344555874827;0,995241922709796
"ADHD";"batchb12";2,35425156687914e-08;7,01310045279422e-09;3,35693404468653;0,000788998943892822
"ADHD";"batchb15";2,32270799899476e-08;1,2279976289305e-08;1,89145967734293;0,0585716605596281
"ADHD";"batchb16";3,41899031658644e-08;7,04458418400321e-09;4,85336001002055;1,21934776551129e-06
"ADHD";"batchb17";7,43105336757464e-09;1,14206210667588e-08;0,650669812450365;0,51526413401603
"ADHD";"batchb18";3,2324339905735e-08;7,22788761799866e-08;0,447216968692789;0,654721313446389
"ADHD";"batchb19";1,97328705928848e-08;1,51983290225095e-08;1,29835790261281;0,194173350916315
"ADHD";"batchb20";6,91514662700068e-09;1,43294572244839e-08;0,482582593232154;0,629395306655571
"ADHD";"batchb21";3,02112150645891e-08;7,58831344473709e-09;3,98128191258918;6,86896670688778e-05
"ADHD";"batchb24";2,85412647951858e-08;8,16176124676047e-09;3,49694924076765;0,000471223018010387
"ADHD";"genderCis man";-9,28955546281791e-09;3,36832114228135e-09;-2,75791858033054;0,00582023318369906
"ADHD";"genderNon-binary";3,3784314277383e-08;1,42285109624866e-08;2,37440968815748;0,0175826577115671
"ADHD";"genderSelf-define";-3,87768883881111e-09;2,31323902310298e-08;-0,16763027080572;0,866875171331722
"ADHD";"genderTrans man";2,80042961436969e-08;2,50172349930677e-08;1,11940013160755;0,262977532220316
"ADHD";"genderTrans woman";1,29161265566605e-07;4,84754054430284e-08;2,66447004179066;0,0077146804994284
"ADHD";"pc1";1,21968732161859e-08;1,45925752134781e-09;8,35827332582154;6,60782687582387e-17
"ADHD";"pc2";8,24695774143947e-09;2,48159581218289e-09;3,32324776700247;0,000890715322591235
"ADHD";"pc3";-4,14896669882970e-11;2,31444577129197e-09;-0,0179263940866226;0,985697680135134
"ADHD";"pc4";6,42294708728511e-09;2,16916785729182e-09;2,96101892976788;0,00306838857056795
"ADHD";"pc5";5,03829982938391e-08;1,21585824820166e-08;4,14382172990634;3,42406739726326e-05
"ADHD";"pc6";6,85523984061769e-10;3,4667625780286e-09;0,197741832223076;0,843248262996679
