"phenotype";"r.squared";"adj.r.squared";"sigma";"statistic";"p.value";"df";"logLik";"AIC";"BIC";"deviance";"df.residual";"nobs"
"ADHD";0,0119838975993764;0,0110956335497491;2,69574047812628e-07;13,4913684781035;8,83854505264646e-67;30;457845,4791823;-915626,9583646;-915357,636406873;2,42493081110156e-09;33369;33400
"Anorexia Nervosa";0,0286591288521103;0,0277858564695266;4,72468776915721e-07;32,8180868004975;7,78760477306163e-185;30;439103,785559974;-878143,571119948;-877874,249162222;7,44885325925196e-09;33369;33400
"Anxiety";0,00439253645400236;0,00349744748201108;4,80848977932298e-07;4,90737411749133;2,31379299374764e-17;30;438516,560739084;-876969,121478168;-876699,799520442;7,71543801399614e-09;33369;33400
"Bipolar Disorder";0,0306608908078309;0,0297894180853709;7,94177900504188e-07;35,1828462528166;2,2539954753355e-199;30;421757,96890303;-843451,937806061;-843182,615848334;2,10464468828175e-08;33369;33400
"Cannabis Use Disorder";0,0219059607055356;0,0210266169679699;2,94131966784388e-07;24,91171514586;2,91367973088666e-136;30;454933,486132267;-909802,972264534;-909533,650306807;2,88687278171028e-09;33369;33400
"Depression";0,0159176171558793;0,0150328896697298;2,83570981459639e-07;17,9915481377833;5,71990270432089e-94;30;456154,792733115;-912245,585466231;-911976,263508504;2,68328476342052e-09;33369;33400
"PTSD";0,016019056227977;0,0151344199394111;2,32000495287538e-07;18,1080704409526;1,11919940206088e-94;30;462858,939624636;-925653,879249273;-925384,557291546;1,79606072465212e-09;33369;33400
"Schizophrenia";0,0148105424057741;0,0139248196173229;8,792051919274e-07;16,7214196121936;2,9369961518119e-86;30;418360,827643387;-836657,655286775;-836388,333329048;2,57942960468492e-08;33369;33400
"Smoking Initiation";0,00531176305786489;0,00441750050554801;2,30128184327095e-07;5,93982499222702;6,45197778400243e-23;30;463129,580816166;-926195,161632331;-925925,839674605;1,76718824438642e-09;33369;33400
"Suicide Attempt";0,0474367713400845;0,0465803807721983;2,24784067469776e-07;55,3915154123735;2,96439387504748e-323;30;463914,355084355;-927764,710168711;-927495,388210984;1,68606472722114e-09;33369;33400
