"Sample","Time point","Duration","Model","Regression","Dependent variable","Level","Independent variable","Estimate","95% CI low","95% CI up","SE","z score","p value"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","Intercept",0.75,0.69,0.82,0.04,-6.76,"1.39e-11"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","SCORE",1,1,1,0,-40.82,"0.00e+00"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","study_statusControl",1.55,1.46,1.65,0.03,13.83,"1.71e-43"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","pc1",0.96,0.94,0.99,0.01,-2.96,"0.003"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","pc2",1.02,0.97,1.06,0.02,0.78,"0.43"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","pc3",1,0.96,1.03,0.02,-0.24,"0.81"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","pc4",0.99,0.96,1.03,0.02,-0.47,"0.64"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","pc5",1.37,1.14,1.66,0.1,3.28,"0.001"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","pc6",1,0.95,1.06,0.03,0.11,"0.91"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb02",1.26,1.08,1.48,0.08,2.92,"0.004"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb03",0.85,0.75,0.97,0.07,-2.45,"0.01"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb04",0.94,0.84,1.05,0.06,-1.13,"0.26"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb05",0.79,0.68,0.91,0.07,-3.17,"0.002"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb06",0.86,0.76,0.97,0.06,-2.36,"0.02"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb07",1.13,0.96,1.33,0.08,1.43,"0.15"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb08",0.53,0.48,0.58,0.05,-13.66,"1.72e-42"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb09",0.49,0.44,0.53,0.05,-15.32,"5.69e-53"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb10",0.99,0.87,1.12,0.07,-0.17,"0.86"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb11",0.71,0.56,0.89,0.12,-2.88,"0.004"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb12",0.3,0.27,0.33,0.05,-22.7,"4.86e-114"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb15",0.91,0.78,1.05,0.08,-1.27,"0.20"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb16",0.34,0.31,0.38,0.05,-20.69,"4.12e-95"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb17",0.71,0.62,0.82,0.07,-4.68,"2.81e-06"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb18",0.2,0.06,0.64,0.6,-2.7,"0.007"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb19",0.82,0.68,0.99,0.09,-2.08,"0.04"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb20",0.93,0.79,1.11,0.09,-0.77,"0.44"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb21",0.35,0.31,0.39,0.06,-18.07,"5.05e-73"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb24",0.34,0.3,0.39,0.07,-16.35,"4.10e-60"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","Intercept",0.01,0,0.01,0.35,-14.54,"6.63e-48"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","SCORE",1,1,1,0,37.33,"5.37e-305"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","study_statusControl",0.42,0.19,0.92,0.4,-2.16,"0.03"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","pc1",1.08,1.02,1.15,0.03,2.56,"0.01"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","pc2",0.97,0.87,1.09,0.06,-0.49,"0.62"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","pc3",0.96,0.84,1.1,0.07,-0.58,"0.56"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","pc4",1.09,0.94,1.25,0.07,1.15,"0.25"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","pc5",0.89,0.42,1.89,0.38,-0.29,"0.77"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","pc6",0.9,0.73,1.12,0.11,-0.91,"0.36"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb02",0,0,34008070,11.61,-0.47,"0.64"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb03",0.9,0.25,3.32,0.66,-0.15,"0.88"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb04",0.53,0.14,2.03,0.68,-0.92,"0.36"
